overview,genres,budget,popularity,runtime,vote_average,vote_count
"in 1972, a seemingly typical shoestring budget pornographic film was made in a florida hotel, ""deep throat,"" starring linda lovelace. this film would surpass the wildest expectation of everyone involved to become one of the most successful independent films of all time. it caught the public imagination which met the spirit of the times, even as the self appointed guardians of public morality struggled to suppress it, and created, for a brief moment, a possible future where sexuality in film had a bold artistic potential. this film covers the story of the making of this controversial film, its stunning success, its hysterical opposition along with its dark side of mob influence and allegations of the on set mistreatment of the film's star. in short, the combined events would redefine the popular appeal of pornography, even as more cynical developments would lead it down other paths.","['history', 'documentary']",0.020408163265306,0.0625462777153743,0.3548387096774194,0.6382978723404255,0.0172215843857634
"slacker uprising is a movie of michael moore's tour of colleges in swing states during the 2004 election, with a goal to encourage 18–29 year olds to vote, and the response it received. the film is a re-edited version of captain mike across america, which played at the toronto international film festival in 2007. it is one of the first feature length films made by a known director to be released as a free and legal download online. the free download is only available to those residing in the united states and canada. the film was also made available free for online viewing and download on the lycos cinema platform as well as itunes and blip.tv. it had a one-night-only run at the michigan theater, where michael moore spoke briefly. the film is available in dvd format. slacker uprising features live performances or appearances by eddie vedder, roseanne barr, joan baez, tom morello, r.e.m., steve earle, and viggo mortensen. the original score is by anti-flag.",['documentary'],0.0,0.025448871345134,0.4623655913978495,0.4468085106382979,0.005166475315729
"marshall jed cooper survives a hanging, vowing revenge on the lynch mob that left him dangling. to carry out his oath for vengeance, he returns to his former job as a lawman. before long, he's caught up with the nine men on his hit list and starts dispensing his own brand of wild west justice.",['western'],0.0183673469387755,0.1847701471835857,0.5913978494623656,0.6170212765957447,0.1096440872560275
"after custer and the 7th cavalry are wiped out by indians, everyone expects the worst. capt. nathan brittles is ordered out on patrol but he's also required to take along abby allshard, wife of the fort's commanding officer, and her niece, the pretty olivia dandridge, who are being evacuated for their own safety. brittles is only a few days away from retirement and olivia has caught the eye of two of the young officers in the company, lt. flint cohill and 2nd lt. ross pennell. she's taken to wearing a yellow ribbon in her hair, a sign that she has a beau in the cavalry, but refuses to say for whom she is wearing it.",['western'],0.0163265306122448,0.1341358258971388,0.4731182795698925,0.702127659574468,0.0344431687715269
"in an unprecedented and candid series of interviews, six former heads of the shin bet — israel's intelligence and security agency — speak about their role in israel's decades-long counterterrorism campaign, discussing their controversial methods and whether the ends ultimately justify the means. (tiff)",['documentary'],0.0,0.044444696254973,0.4516129032258065,0.5744680851063829,0.0218140068886337
"this documentary takes the viewer on a deeply personal journey into the everyday lives of families struggling to fight goliath. from a family business owner in the midwest to a preacher in california, from workers in florida to a poet in mexico, dozens of film crews on three continents bring the intensely personal stories of an assault on families and american values.",['documentary'],0.0,0.0220626309258677,0.4193548387096774,0.6595744680851064,0.013203214695752
"sean connery is shalako, a guide in the old west who has to rescue an aristocratic british hunting party from indians and bandits.",['western'],0.0148469387755101,0.0565486905177582,0.5806451612903226,0.3404255319148936,0.0063145809414466
"breast cancer has become the poster child of corporate cause-related marketing campaigns. countless women and men walk, bike, climb and shop for the cure. each year, millions of dollars are raised in the name of breast cancer, but where does this money go and what does it actually achieve? pink ribbons, inc. is a feature documentary that shows how the devastating reality of breast cancer, which marketing experts have labeled a ""dream cause,"" becomes obfuscated by a shiny, pink story of success.",['documentary'],0.0091836734693877,0.0015329865252745,0.4086021505376344,0.6382978723404255,0.0028702640642939
a documentary on al gore's campaign to make the issue of global warming a recognized problem worldwide.,['documentary'],0.010204081632653,0.2222074034694772,0.4408602150537635,0.6170212765957447,0.1435132032146958
"martin scorsese and the rolling stones unite in ""shine a light,"" a look at the rolling stones."" scorsese filmed the stones over a two-day period at the intimate beacon theater in new york city in fall 2006. cinematographers capture the raw energy of the legendary band.","['documentary', 'music']",0.0,0.0339810624826737,0.6774193548387097,0.723404255319149,0.0246842709529276
"documentary filmmaker robert kenner examines how mammoth corporations have taken over all aspects of the food chain in the united states, from the farms where our food is grown to the chain restaurants and supermarkets where it's sold. narrated by author and activist eric schlosser, the film features interviews with average americans about their dietary habits, commentary from food experts like michael pollan and unsettling footage shot inside large-scale animal processing plants.",['documentary'],0.0,0.2360088242162616,0.3763440860215054,0.7659574468085107,0.1239954075774971
"in 1996, electric cars began to appear on roads all over california. they were quiet and fast, produced no exhaust, and ran without gasoline... ten years later, these cars were destroyed.",['documentary'],0.010204081632653,0.0836550688691929,0.3548387096774194,0.723404255319149,0.0332950631458094
"in a place where killers are celebrated as heroes, these filmmakers challenge unrepentant death-squad leaders to dramatize their role in genocide. the result is a surreal, cinematic journey, not only into the memories and imaginations of mass murderers, but also into a frighteningly banal regime of corruption and impunity.",['documentary'],0.010204081632653,0.1396716358924951,0.6021505376344086,0.7872340425531914,0.1199770378874856
"an in-depth look at the torture practices of the united states in afghanistan, iraq and guantanamo bay, focusing on an innocent taxi driver in afghanistan who was tortured and killed in 2002",['documentary'],0.010204081632653,0.0117588479439904,0.5053763440860215,0.5957446808510637,0.0298507462686567
"in the 1970s the north american soccer league marked the first attempt to introduce soccer to american sports fans. while most teams had only limited success at best, one managed to break through to genuine mainstream popularity - the new york cosmos. the brainchild of steve ross (major executive at warner communications) and the ertegun brothers (founders of atlantic records), the cosmos got off to a rocky start in 1971, but things changed in 1975 when the world's most celebrated soccer star, the brazilian champion pele, signed with the cosmos for a five-million-dollar payday. with the arrival of pele, the cosmos became a hit  and the players became the toast of the town, earning their own private table at studio 54. a number of other international soccer stars were soon lured to the cosmos, including franz beckenbauer, rodney marsh, and carlos alberto, but with the turn of the decade, the team began losing favor with fans and folded in 1985.",['documentary'],0.010204081632653,0.0068487993360542,0.4086021505376344,0.1914893617021276,0.0011481056257175
"documentary portraying the actions of u.s. corporate contractors in the u.s.-iraq war. interviews with employees and former employees of such companies as halliburton, caci, and kbr suggest that government cronyism is behind apparent ""sweetheart"" deals that give such contractors enormous freedom to profit from supplying support and material to american troops while providing little oversight. survivors of employees who were killed discuss the claim that the companies cared more for profit than for the welfare of their own workers, and soldiers indicate that the quality of services provided is sub-standard and severely in contradiction to the comparatively huge profits being generated. also depicted are the unsuccessful attempts by the filmmakers to get company spokesmen to respond to the charges made by the interviewees.",['documentary'],0.0,0.0238479431261229,0.1720430107526881,0.8936170212765957,0.0028702640642939
high noon is about a recently freed leader of a gang of bandits in the desert who is looking to get revenge on the sheriff who put him in jail. a legendary western film from the austrian director fred zinnemann.,['western'],0.0074489795918367,0.2930097678404193,0.2795698924731182,0.8085106382978722,0.1911595866819747
"a documentary film that highlights two street derived dance styles, clowing and krumping, that came out of the low income neighborhoods of l.a.. director david lachapelle interviews each dance crew about how their unique dances evolved. a new and positive activity away from the drugs, guns, and gangs that ruled their neighborhood. a raw film about a growing sub-culture movements in america.",['documentary'],0.0,0.0255138426525379,0.2903225806451612,0.4468085106382979,0.0068886337543054
"starsuckers is the most controversial documentary of the year, and was released in british cinemas in november 2009 to critical acclaim. it's a darkly humourous and shocking exposé of the celebrity obsessed media, that uncovers the real reasons behind our addiction to fame and blows the lid on the corporations and individuals who profit from it.","['documentary', 'foreign']",0.0,0.0067377634659989,0.4731182795698925,0.5106382978723404,0.0022962112514351
"from the masters who create the mind-bending diversions to the tense competition at the american crossword puzzle tournament, patrick creadon's documentary reveals a fascinating look at a decidedly addictive pastime. creadon captures new york times editor will shortz at work, talks to celebrity solvers -- including bill clinton and ken burns -- and presents an intimate look at the national tournament and its competitors.",['documentary'],0.0,0.0142346570941226,0.3763440860215054,0.7446808510638298,0.005166475315729
"beyond the mat is a 1999 professional wrestling documentary, directed by barry w. blaustein. the movie focuses on the lives of professional wrestlers outside of the ring, especially mick foley, terry funk, and jake roberts. the film heavily focuses on the world wrestling federation (wwf), often criticizing it and its chairman vince mcmahon. it also follows extreme championship wrestling, it's rise in popularity, and many other independent wrestlers and organizations.",['documentary'],0.0209555918367346,0.0436640661536782,0.4623655913978495,0.8510638297872339,0.0091848450057405
"a riveting portrait of the great writer whose stories became the basis of the broadway musical fiddler on the roof. sholem aleichem: laughing in the darkness tells the tale of the rebellious genius who created an entirely new literature. plumbing the depths of a jewish world locked in crisis and on the cusp of profound change, he captured that world with brilliant humor. sholem aleichem was not just a witness to the creation of a new modern jewish identity, but one of the very men who forged it.",['documentary'],0.0051020408163265,0.0017163332287516,0.3655913978494624,0.6808510638297872,0.0005740528128587
"the incredible story of the 1992 lithuanian basketball team, whose athletes struggled under soviet rule, became symbols of lithuania's independence movement, and – with help from the grateful dead – triumphed at the barcelona olympics.",['documentary'],0.0,0.0060983917369698,0.3225806451612903,0.6595744680851064,0.0034443168771527
a documentary on the influential musician scott walker.,"['documentary', 'music']",0.0,0.0095462558853922,0.3870967741935484,0.6808510638297872,0.0040183696900114
dogtown and z-boys follows the evolution of skateboarding from the 60's and into the late 70's as skateboarding's california beach boy image is transformed into a low-riding surf oriented style.,['documentary'],0.0,0.0517261661504926,0.3440860215053763,0.723404255319149,0.0292766934557979
"two versions of the american dream now stand in sharp contrast. one views the money you earned as yours and best allocated by you; the other believes that an elite in washington knows best how to allocate your wealth. one champions the traditional american dream, which has played out millions of times through generations of americans, of improving one's lot in life and even daring to dream and build big. the other holds that there is no end to the ""good"" the government can do by taking and spending other peoples' money in an ever-burgeoning list of programs. the documentary film i want your money exposes the high cost in lost freedom and in lost opportunity to support a leviathan-like bureaucratic state.",['documentary'],0.0,0.0013197316461832,0.3548387096774194,0.0,0.0022962112514351
a hilarious look at the universe's most fervent fans.,['documentary'],0.0,0.0436468882052041,0.2903225806451612,0.5319148936170213,0.0120551090700344
"quadriplegics, who play full-contact rugby in wheelchairs, overcome unimaginable obstacles to compete in the paralympic games in athens, greece.",['documentary'],0.0030612244897959,0.017060657504916,0.3118279569892473,0.6595744680851064,0.0126291618828932
"documentary filmmaker doug block had every reason to believe his parents' 54-year marriage was a good one. but when his mother dies unexpectedly and his father swiftly marries his former secretary, he discovers two parents who are far more complex and troubled than he ever imagined. 51 birch street is a riveting personal documentary that explores a universal human question: how much about your parents do you really want to know?",['documentary'],0.0,0.0007787284253886,0.3333333333333333,0.6382978723404255,0.0028702640642939
